Soil_Type,Soil_pH,Soil_Moisture,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Crop_Type,Recommended_Fertilizer
Sandy,7.31,27.05,54,89,52,29.9,50.03,Maize,Urea
Silt,4.67,45.66,135,70,13,20.34,58.24,Tomato,MOP
Loamy,8.13,36.21,64,80,52,15.75,89.88,Maize,Zinc Sulphate
Sandy,6.44,21.14,76,31,118,13.26,60.64,Tomato,DAP
Clay,6.34,52.31,140,88,70,15.88,31.17,Cotton,Urea
Sandy,6.77,50.91,39,82,95,17.12,42.46,Maize,Urea
Clay,5.1,29.8,43,26,58,33.87,51.27,Sugarcane,Urea
Silt,6.38,39.43,89,11,73,33.51,57.36,Wheat,DAP
Sandy,7.82,22.89,121,16,29,24.83,70.46,Sugarcane,DAP
Loamy,4.56,44.49,146,23,102,26.6,65.44,Maize,DAP
Sandy,5.59,25.45,137,13,94,37.53,60.56,Wheat,DAP
Sandy,4.51,52.2,44,54,54,37.24,80.27,Potato,Urea
Sandy,6.16,20.87,100,72,26,34.86,41.77,Rice,MOP
Silt,7.41,10.74,36,19,75,21.23,34.67,Wheat,Urea
Loamy,7.7,23.43,77,54,107,21.0,80.29,Cotton,DAP
Sandy,8.28,19.55,21,53,31,36.64,57.73,Tomato,Urea
Loamy,6.93,35.41,102,64,59,37.8,63.2,Wheat,Zinc Sulphate
Silt,5.52,20.19,28,27,79,33.95,80.24,Sugarcane,Urea
Clay,8.2,48.16,142,20,34,32.71,86.75,Cotton,DAP
Sandy,7.6,22.07,123,63,11,26.74,63.12,Sugarcane,MOP
Loamy,6.8,45.35,102,10,52,20.15,78.74,Sugarcane,DAP
Loamy,7.28,38.92,128,62,26,17.22,62.69,Rice,MOP
Silt,8.2,59.31,139,89,82,14.21,32.0,Maize,Zinc Sulphate
Sandy,7.35,60.0,153,87,29,31.85,87.35,Rice,MOP
Clay,5.97,53.48,30,42,46,33.31,79.07,Maize,Urea
Loamy,7.35,48.0,125,16,61,20.76,75.21,Potato,DAP
Sandy,4.66,29.32,147,34,88,10.18,56.51,Sugarcane,DAP
Clay,6.05,47.66,49,78,35,38.16,86.55,Wheat,Urea
Loamy,6.13,57.83,101,58,34,23.11,59.39,Maize,MOP
Loamy,5.17,11.17,134,83,73,39.24,73.25,Rice,Compost
Clay,4.59,36.9,80,13,40,30.32,36.04,Cotton,DAP
Clay,5.03,20.9,37,33,39,13.72,43.13,Rice,Urea
Silt,7.12,37.89,81,55,19,19.81,55.45,Sugarcane,MOP
Sandy,7.71,33.32,80,79,47,29.71,64.88,Tomato,NPK
Sandy,8.45,38.79,78,21,118,29.48,78.33,Sugarcane,DAP
Silt,5.89,37.55,129,71,94,16.96,44.45,Rice,Compost
Loamy,6.9,58.01,133,85,97,15.31,76.46,Rice,NPK
Clay,8.25,37.61,70,71,107,18.3,83.4,Cotton,Zinc Sulphate
Clay,5.17,52.31,84,71,37,33.61,79.11,Potato,MOP
Clay,7.37,25.99,131,85,110,17.26,67.34,Maize,NPK
Loamy,7.52,31.91,61,67,33,31.05,78.6,Sugarcane,MOP
Clay,4.86,33.52,62,47,38,36.1,82.65,Maize,MOP
Clay,7.94,23.94,21,77,90,21.75,63.31,Tomato,Urea
Silt,7.75,28.99,159,26,112,10.21,78.61,Sugarcane,DAP
Loamy,4.63,39.93,145,19,97,14.26,55.27,Sugarcane,DAP
Sandy,4.86,39.01,63,52,26,19.36,61.35,Rice,MOP
Silt,4.7,41.82,54,42,110,15.7,33.16,Potato,Urea
Silt,5.84,27.59,84,46,79,18.69,83.01,Tomato,NPK
Sandy,6.54,25.79,158,37,73,26.32,38.42,Tomato,DAP
Silt,6.63,40.58,51,55,115,10.63,46.57,Rice,Urea
Loamy,5.57,16.64,85,11,110,11.93,49.05,Potato,DAP
Clay,8.15,22.65,79,55,119,35.67,36.95,Wheat,Zinc Sulphate
Loamy,5.97,12.11,134,47,40,25.67,85.31,Rice,Zinc Sulphate
Sandy,4.68,13.63,87,47,66,38.07,88.2,Wheat,Compost
Sandy,5.7,22.17,83,30,29,10.1,81.91,Potato,DAP
Silt,6.62,10.98,150,32,55,10.0,50.78,Sugarcane,DAP
Loamy,6.13,22.27,73,42,11,32.19,33.31,Cotton,MOP
Loamy,5.6,42.75,95,52,114,24.29,40.97,Potato,Compost
Sandy,5.03,13.06,146,77,91,37.41,76.33,Maize,Compost
Loamy,7.78,31.84,129,79,59,33.6,47.16,Maize,Compost
Sandy,8.48,55.66,107,73,69,25.12,83.56,Tomato,Zinc Sulphate
Loamy,5.82,49.56,132,73,95,24.36,80.11,Cotton,Urea
Loamy,6.03,25.27,73,46,50,34.34,44.22,Cotton,MOP
Loamy,6.97,56.24,67,88,110,34.11,71.61,Potato,DAP
Sandy,7.37,26.48,54,32,99,18.31,56.54,Rice,Urea
Silt,6.07,13.63,87,82,85,30.24,42.9,Sugarcane,SSP
Loamy,8.12,59.7,45,43,79,29.3,65.41,Tomato,Urea
Sandy,6.74,53.5,91,43,26,35.68,80.24,Potato,MOP
Sandy,6.3,33.3,107,36,87,36.06,85.61,Potato,DAP
Loamy,7.09,43.32,126,89,19,18.05,33.52,Maize,MOP
Loamy,8.31,43.56,75,13,99,36.39,55.12,Cotton,DAP
Silt,7.68,19.72,88,85,76,37.74,66.27,Sugarcane,NPK
Sandy,4.66,20.0,99,78,51,13.29,50.28,Potato,Compost
Sandy,5.83,33.48,115,72,119,27.21,49.06,Maize,SSP
Clay,6.38,55.58,145,87,88,23.09,76.32,Sugarcane,NPK
Sandy,5.76,10.5,124,23,25,22.06,76.95,Wheat,DAP
Silt,7.3,49.13,78,75,47,31.14,73.74,Maize,NPK
Clay,7.81,12.88,44,37,23,13.89,83.91,Wheat,Urea
Clay,7.43,33.91,46,30,45,34.6,59.68,Potato,Urea
Clay,8.46,41.89,118,88,22,10.8,77.27,Sugarcane,MOP
Loamy,5.59,44.34,41,19,68,27.35,30.67,Rice,Urea
Loamy,8.0,12.92,66,35,36,16.76,89.25,Cotton,DAP
Sandy,7.57,30.93,141,44,17,30.02,85.15,Wheat,MOP
Clay,5.95,39.19,74,43,96,25.76,80.48,Rice,NPK
Silt,7.44,13.3,28,11,114,39.99,65.27,Maize,Urea
Loamy,4.92,16.75,73,52,62,35.87,62.65,Cotton,Compost
Silt,7.66,43.18,133,53,84,20.1,39.01,Sugarcane,NPK
Silt,6.63,36.08,83,53,14,25.85,33.24,Tomato,MOP
Loamy,5.67,18.09,137,52,14,19.53,45.35,Tomato,MOP
Loamy,7.12,36.76,128,61,98,31.86,39.06,Potato,DAP
Loamy,7.07,55.63,118,14,91,22.67,63.65,Cotton,DAP
Loamy,5.34,10.78,102,28,57,13.46,49.95,Rice,DAP
Clay,4.62,42.13,27,39,33,29.82,53.27,Rice,Urea
Clay,6.23,13.68,126,58,82,10.33,31.58,Maize,MOP
Clay,6.78,10.32,131,72,116,18.92,62.92,Sugarcane,DAP
Clay,8.01,17.53,157,38,84,37.21,69.37,Maize,DAP
Sandy,8.21,31.15,125,85,87,12.83,50.06,Potato,Zinc Sulphate
Clay,6.62,50.12,30,81,51,25.13,37.88,Sugarcane,Urea
Loamy,7.52,24.09,38,88,18,33.85,72.22,Potato,Urea
Silt,6.26,41.28,71,62,73,37.14,37.74,Potato,Urea
Clay,7.48,30.56,61,37,78,26.8,79.01,Maize,DAP
Sandy,5.32,21.72,119,62,100,14.6,62.76,Cotton,Compost
Loamy,5.98,35.71,115,26,20,38.23,44.25,Sugarcane,DAP
Silt,7.04,49.87,102,33,101,32.48,83.92,Sugarcane,DAP
Silt,4.57,51.62,98,85,18,21.87,38.51,Sugarcane,MOP
Clay,7.39,52.33,147,74,86,18.31,66.07,Maize,SSP
Silt,7.84,26.93,105,45,70,11.43,67.05,Potato,Zinc Sulphate
Clay,6.1,49.67,68,41,92,15.74,32.24,Maize,SSP
Clay,6.29,20.61,96,78,81,33.33,66.58,Potato,MOP
Loamy,7.91,46.92,103,35,64,13.26,71.65,Maize,DAP
Loamy,7.6,57.42,68,65,77,13.88,84.61,Rice,NPK
Sandy,5.65,10.69,98,76,117,15.88,72.54,Tomato,NPK
Loamy,5.8,32.02,69,42,34,21.86,59.07,Cotton,MOP
Loamy,7.22,42.39,103,48,80,15.67,81.2,Maize,NPK
Clay,6.75,45.09,143,67,65,37.13,51.23,Cotton,Compost
Loamy,5.15,18.8,38,21,36,17.73,81.33,Wheat,Urea
Clay,5.74,58.61,110,52,113,37.58,80.64,Tomato,NPK
Clay,8.1,40.76,91,81,32,39.55,66.22,Maize,MOP
Loamy,7.25,18.22,29,22,49,32.64,50.68,Sugarcane,Urea
Sandy,8.44,11.03,69,82,102,10.22,65.47,Sugarcane,Zinc Sulphate
Sandy,7.57,49.16,68,14,67,17.2,84.35,Wheat,DAP
Silt,8.27,13.99,118,54,45,18.02,68.19,Potato,Zinc Sulphate
Silt,5.36,17.05,139,14,83,26.28,80.4,Maize,DAP
Loamy,7.59,38.74,42,32,41,14.75,50.68,Sugarcane,Urea
Sandy,4.58,40.18,95,44,32,12.32,47.54,Tomato,MOP
Clay,7.18,44.34,132,63,49,15.29,45.35,Sugarcane,Urea
Silt,6.38,29.68,46,58,57,19.82,59.48,Potato,Urea
Clay,5.89,48.69,25,79,33,11.48,55.92,Wheat,Urea
Silt,7.95,58.72,43,87,94,15.86,81.25,Sugarcane,Urea
Loamy,7.92,23.55,105,46,48,15.03,36.76,Tomato,Zinc Sulphate
Sandy,4.59,45.15,156,31,49,33.17,63.24,Potato,DAP
Silt,6.94,56.42,86,17,38,15.09,54.2,Cotton,DAP
Sandy,5.97,44.31,89,66,54,33.75,86.25,Potato,MOP
Clay,6.16,44.06,97,80,118,25.25,77.3,Cotton,Urea
Loamy,7.83,21.19,61,69,100,32.74,56.0,Rice,Zinc Sulphate
Sandy,5.74,36.76,79,64,43,23.51,68.44,Tomato,NPK
Loamy,8.27,38.13,102,43,99,37.03,74.74,Rice,Zinc Sulphate
Sandy,5.22,45.01,106,50,24,18.3,34.27,Potato,MOP
Clay,7.15,59.84,152,37,79,33.0,70.42,Tomato,DAP
Clay,7.19,11.68,127,40,98,14.9,38.37,Maize,DAP
Loamy,5.51,13.26,90,30,91,36.48,41.34,Rice,DAP
Clay,5.8,13.9,43,83,80,10.85,57.67,Sugarcane,Urea
Silt,7.84,47.15,124,60,11,23.72,88.77,Potato,MOP
Sandy,7.55,16.82,99,45,107,22.64,87.13,Sugarcane,Zinc Sulphate
Clay,5.82,41.12,157,86,10,28.71,84.14,Maize,MOP
Silt,6.64,26.23,83,35,63,23.23,32.06,Rice,DAP
Loamy,4.75,32.87,90,28,119,27.67,81.17,Rice,DAP
Silt,5.33,20.78,155,15,11,35.85,76.57,Sugarcane,DAP
Loamy,6.44,53.31,124,57,115,14.26,59.93,Cotton,NPK
Loamy,4.84,39.31,71,24,45,17.32,49.53,Rice,DAP
Sandy,7.87,57.23,21,58,77,34.08,75.34,Wheat,Urea
Sandy,7.37,38.73,138,27,37,16.84,36.42,Sugarcane,DAP
Silt,8.27,16.2,137,74,96,37.17,69.03,Maize,Zinc Sulphate
Sandy,7.27,18.54,23,31,112,26.22,70.31,Rice,Urea
Sandy,8.26,59.45,71,69,29,12.46,63.22,Tomato,MOP
Sandy,6.72,46.28,130,45,46,10.62,82.67,Cotton,NPK
Silt,6.9,12.46,26,19,68,32.89,49.79,Sugarcane,Urea
Clay,8.41,45.19,20,29,53,35.69,58.69,Rice,Urea
Sandy,7.07,30.61,102,79,21,17.2,75.52,Cotton,MOP
Sandy,4.62,25.36,113,70,41,17.22,73.0,Potato,Compost
Silt,7.4,17.7,133,68,47,38.62,63.75,Cotton,NPK
Clay,8.12,52.0,74,31,40,29.69,46.33,Tomato,DAP
Sandy,7.68,13.19,136,77,27,15.03,47.66,Sugarcane,MOP
Loamy,6.84,24.49,32,13,38,23.46,74.47,Rice,Urea
Silt,7.19,25.32,47,38,107,37.31,30.34,Tomato,Urea
Sandy,8.46,18.05,33,67,60,28.64,69.16,Maize,Urea
Sandy,4.86,35.41,150,67,38,22.22,44.9,Rice,MOP
Loamy,7.17,10.59,35,63,100,14.53,70.38,Potato,Urea
Loamy,5.63,25.05,108,37,104,31.78,41.22,Wheat,DAP
Silt,7.06,56.68,130,86,72,18.29,52.59,Maize,MOP
Silt,6.93,25.53,140,48,107,26.98,75.23,Sugarcane,Compost
Loamy,5.11,28.02,150,66,90,28.0,75.31,Wheat,Compost
Silt,5.33,33.66,117,73,29,26.66,42.58,Wheat,MOP
Loamy,6.99,38.08,150,39,40,17.39,52.58,Rice,DAP
Sandy,5.01,50.44,38,59,40,31.25,60.15,Cotton,Urea
Loamy,5.56,19.52,40,63,67,26.98,65.24,Wheat,Urea
Loamy,7.84,53.59,111,32,112,22.11,74.55,Potato,DAP
Clay,5.81,47.88,66,27,94,11.56,31.42,Sugarcane,DAP
Loamy,6.45,46.13,110,63,16,19.94,36.92,Sugarcane,MOP
Loamy,8.26,14.34,63,37,105,20.57,39.46,Potato,DAP
Clay,5.41,11.08,133,17,21,33.73,41.44,Potato,DAP
Silt,6.06,39.7,108,41,96,25.4,31.82,Tomato,DAP
Clay,6.93,53.16,21,15,70,37.96,85.23,Cotton,Urea
Sandy,7.52,39.22,107,81,52,32.52,39.73,Wheat,Compost
Clay,8.11,20.66,109,49,58,26.14,34.42,Cotton,Zinc Sulphate
Sandy,8.16,14.53,86,60,116,15.07,58.3,Wheat,Zinc Sulphate
Silt,7.61,44.98,110,56,49,16.63,86.47,Rice,MOP
Clay,5.41,46.09,33,79,79,14.8,87.86,Sugarcane,Urea
Clay,4.6,18.63,54,77,41,23.29,70.58,Potato,Urea
Silt,6.04,11.41,147,16,72,31.68,40.7,Cotton,DAP
Sandy,5.07,30.41,151,36,111,32.78,30.23,Wheat,DAP
Clay,7.34,39.14,76,75,24,12.88,50.1,Wheat,MOP
Sandy,7.14,45.3,21,63,99,24.88,37.53,Potato,Urea
Clay,4.68,50.5,85,23,93,24.44,75.31,Maize,DAP
Loamy,7.85,40.53,108,31,21,23.17,88.15,Maize,DAP
Clay,5.49,15.54,130,78,114,19.04,35.02,Maize,Compost
Silt,6.23,44.13,106,65,118,24.27,53.82,Maize,NPK
Silt,7.17,59.21,108,69,35,25.5,84.15,Maize,MOP
Sandy,6.22,55.28,110,60,39,27.99,73.7,Tomato,MOP
Clay,6.27,53.58,71,25,102,21.32,82.19,Maize,DAP
Sandy,4.76,25.11,137,15,39,38.35,85.38,Sugarcane,DAP
Sandy,6.11,47.54,134,10,86,20.17,54.76,Wheat,DAP
Loamy,7.56,52.56,50,21,114,36.85,71.62,Sugarcane,Urea
Loamy,8.16,43.92,81,33,71,34.04,72.56,Tomato,DAP
Silt,6.15,22.53,53,84,52,23.96,67.85,Wheat,Urea
Sandy,6.19,57.69,55,52,31,24.89,49.55,Maize,Urea
Silt,7.31,32.54,140,43,116,36.1,79.93,Potato,DAP
Clay,8.27,16.49,123,66,114,24.78,76.13,Potato,Zinc Sulphate
Sandy,5.57,15.49,63,30,26,30.38,56.71,Rice,DAP
Sandy,6.26,42.38,96,49,32,34.28,55.26,Cotton,MOP
Clay,7.68,31.89,37,42,34,37.24,30.65,Potato,Urea
Clay,6.94,14.72,64,42,79,16.54,80.61,Cotton,MOP
Silt,4.94,47.02,127,37,46,39.26,47.04,Sugarcane,DAP
Silt,7.01,49.97,45,74,99,38.96,58.25,Maize,Urea
Clay,5.25,46.27,131,85,66,18.92,54.68,Sugarcane,Compost
Silt,6.54,20.11,120,55,94,28.41,70.69,Cotton,NPK
Clay,6.62,44.49,94,42,108,11.41,53.41,Maize,Urea
Sandy,8.0,10.54,115,78,79,15.03,40.78,Cotton,Zinc Sulphate
Sandy,6.35,25.26,43,75,31,27.51,82.12,Potato,Urea
Loamy,5.62,29.94,136,45,90,29.5,41.01,Wheat,Urea
Sandy,5.42,51.76,124,63,84,26.04,31.71,Cotton,Compost
Clay,8.0,29.52,58,59,13,31.14,41.77,Wheat,Urea
Silt,5.18,10.56,130,60,67,33.79,57.31,Rice,Compost
Loamy,6.2,27.62,102,61,53,15.05,55.39,Maize,Zinc Sulphate
Silt,5.25,34.95,40,30,83,29.79,77.78,Cotton,Urea
Clay,7.59,57.45,42,39,26,26.88,41.7,Tomato,Urea
Sandy,6.4,57.05,73,24,111,13.53,76.54,Cotton,DAP
Loamy,5.9,19.04,149,18,27,16.86,35.78,Cotton,DAP
Clay,5.94,19.26,95,41,62,22.59,58.42,Potato,MOP
Loamy,7.91,18.17,89,81,28,35.91,81.92,Cotton,MOP
Loamy,6.72,49.45,84,32,95,16.51,54.78,Maize,DAP
Sandy,7.37,10.3,69,36,70,15.49,87.8,Cotton,DAP
Clay,8.09,16.36,136,51,66,31.63,67.86,Potato,Zinc Sulphate
Silt,8.11,36.9,106,17,88,39.27,75.4,Sugarcane,DAP
Loamy,5.81,22.38,20,20,53,23.42,60.59,Wheat,Urea
Loamy,8.31,14.62,40,30,28,20.5,55.79,Wheat,Urea
Silt,4.6,27.99,76,53,34,17.62,35.08,Tomato,MOP
Clay,6.01,23.71,48,48,46,11.49,37.2,Cotton,Urea
Loamy,8.08,35.56,53,42,27,15.35,64.3,Rice,Urea
Loamy,5.6,58.96,100,76,67,12.8,66.82,Sugarcane,NPK
Loamy,5.59,16.22,73,64,21,24.82,89.09,Sugarcane,MOP
Clay,5.71,28.64,51,22,41,39.35,81.46,Potato,Urea
Clay,6.95,56.6,151,45,35,33.62,80.67,Tomato,MOP
Silt,6.25,53.84,49,35,35,28.05,47.2,Rice,Urea
Clay,7.41,29.71,114,83,56,24.6,54.71,Wheat,DAP
Clay,8.08,44.95,88,47,51,28.52,36.13,Potato,Zinc Sulphate
Sandy,7.2,14.39,48,32,101,21.28,64.89,Maize,Urea
Silt,5.32,45.63,159,17,98,15.35,34.17,Potato,DAP
Loamy,8.23,58.64,34,23,103,27.69,56.81,Cotton,Urea
Clay,5.56,36.87,98,33,60,25.84,63.97,Wheat,DAP
Loamy,5.1,34.92,72,49,50,38.34,43.69,Maize,Compost
Loamy,4.86,19.37,122,34,111,29.49,76.53,Wheat,DAP
Sandy,6.75,41.69,105,34,87,33.2,70.49,Potato,DAP
Clay,4.96,39.52,74,26,74,12.78,38.87,Potato,DAP
Silt,5.06,42.6,158,13,106,32.83,89.02,Rice,DAP
Clay,5.7,11.3,86,50,70,39.49,62.52,Rice,Urea
Loamy,5.63,37.44,72,69,84,29.72,31.59,Wheat,SSP
Silt,6.92,39.75,66,52,44,32.26,51.01,Wheat,NPK
Clay,7.77,20.38,114,63,94,39.39,88.76,Potato,NPK
Loamy,7.55,20.42,108,61,31,21.74,84.14,Maize,MOP
Loamy,5.55,23.81,159,30,78,34.73,39.07,Cotton,DAP
Sandy,5.48,45.59,26,33,49,21.99,81.3,Sugarcane,Urea
Sandy,8.36,40.31,106,46,63,22.78,67.1,Cotton,Zinc Sulphate
Sandy,4.53,52.29,155,53,91,29.75,31.3,Potato,Compost
Loamy,8.02,24.78,96,14,46,17.69,75.45,Maize,DAP
Clay,5.3,55.6,119,70,53,39.78,54.77,Maize,Compost
Sandy,8.29,47.19,127,53,38,19.88,53.77,Wheat,MOP
Clay,5.87,29.75,84,15,91,13.69,52.97,Rice,DAP
Sandy,6.26,14.76,56,87,21,19.68,65.79,Tomato,Urea
Silt,7.33,22.85,35,12,30,35.68,72.85,Potato,Urea
Silt,6.85,57.84,131,74,49,19.42,68.86,Potato,DAP
Sandy,5.77,25.52,51,40,39,28.34,44.51,Sugarcane,Urea
Loamy,6.72,26.5,104,64,73,38.06,72.41,Cotton,Urea
Sandy,7.42,19.48,48,54,50,17.8,38.13,Sugarcane,Urea
Sandy,4.67,50.34,148,83,88,13.94,88.28,Cotton,Compost
Loamy,4.54,23.78,46,64,108,12.91,58.42,Potato,Urea
Silt,6.33,26.51,40,69,56,23.21,35.48,Tomato,Urea
Clay,5.03,30.72,111,40,101,13.13,64.6,Cotton,Compost
Sandy,7.16,31.69,133,48,13,23.61,64.62,Rice,MOP
Loamy,5.36,30.57,117,57,37,35.88,32.33,Potato,MOP
Sandy,6.23,35.19,41,89,103,33.32,30.65,Sugarcane,Urea
Loamy,5.29,50.73,61,36,57,27.45,89.77,Tomato,DAP
Clay,6.69,50.96,140,25,66,35.51,53.41,Rice,DAP
Clay,4.96,49.92,67,61,100,13.01,44.73,Tomato,Compost
Silt,4.59,15.06,155,13,25,28.28,62.86,Maize,DAP
Loamy,4.7,49.98,149,51,105,13.47,30.5,Wheat,Compost
Loamy,8.32,16.01,152,63,21,24.46,30.77,Wheat,MOP
Silt,5.07,16.24,47,18,117,23.9,36.77,Tomato,Urea
Silt,7.33,57.39,151,34,64,17.95,78.15,Wheat,DAP
Loamy,4.77,50.97,72,67,45,34.9,44.89,Maize,Compost
Silt,4.93,37.62,119,27,24,16.85,60.21,Wheat,DAP
Clay,6.54,53.75,148,53,28,26.56,43.42,Maize,MOP
Sandy,6.36,59.47,98,83,27,24.47,62.69,Tomato,MOP
Clay,8.31,40.53,153,58,99,22.95,60.53,Wheat,Zinc Sulphate
Silt,8.28,40.64,107,53,84,11.01,54.04,Cotton,Zinc Sulphate
Loamy,7.62,47.72,71,84,103,30.9,55.99,Potato,Urea
Loamy,6.91,21.61,96,87,37,10.38,69.2,Potato,MOP
Clay,6.32,18.36,43,47,65,34.62,80.53,Rice,Urea
Loamy,5.92,47.98,112,74,32,17.99,49.16,Potato,MOP
Silt,8.29,27.25,127,19,88,13.6,61.93,Maize,DAP
Clay,6.91,16.75,39,72,20,22.51,81.25,Potato,Urea
Loamy,6.82,25.74,53,55,52,26.78,40.08,Tomato,Urea
Sandy,5.43,27.93,34,11,94,19.31,88.77,Potato,Urea
Sandy,4.69,58.26,70,29,54,13.65,75.04,Maize,DAP
Silt,8.28,44.9,146,12,48,10.55,51.97,Tomato,DAP
Loamy,5.75,36.54,23,45,104,31.11,52.51,Rice,Urea
Silt,6.27,58.44,72,14,88,36.59,42.32,Cotton,DAP
Clay,4.96,55.16,143,29,90,13.02,46.07,Rice,DAP
Sandy,7.85,35.6,69,12,98,16.92,65.22,Tomato,DAP
Clay,4.61,55.28,82,12,33,10.61,30.22,Tomato,DAP
Loamy,7.84,30.22,69,79,54,36.55,31.39,Maize,Zinc Sulphate
Silt,5.06,21.52,112,56,45,23.34,89.19,Potato,Compost
Silt,8.05,21.63,93,46,106,37.76,44.13,Wheat,Zinc Sulphate
Silt,7.42,43.12,105,17,117,24.04,79.77,Wheat,DAP
Clay,5.16,35.05,116,89,13,35.87,66.74,Cotton,MOP
Sandy,6.76,42.95,119,10,74,38.55,56.76,Maize,DAP
Clay,5.75,44.3,117,87,111,20.05,73.93,Maize,NPK
Clay,5.21,11.12,49,54,65,29.22,33.0,Potato,Urea
Loamy,7.94,12.7,41,83,20,29.99,75.36,Cotton,Urea
Loamy,6.11,36.63,88,19,94,10.64,81.42,Sugarcane,DAP
Loamy,6.09,19.55,75,77,34,23.15,46.81,Cotton,MOP
Sandy,5.18,41.63,103,52,59,35.66,48.1,Rice,Compost
Sandy,6.03,37.61,120,50,101,38.39,36.18,Rice,MOP
Loamy,7.99,39.29,114,21,61,36.98,81.35,Sugarcane,DAP
Loamy,5.95,25.12,48,17,15,39.19,78.47,Rice,Urea
Sandy,8.31,41.99,143,54,55,29.59,55.51,Cotton,Zinc Sulphate
Silt,8.29,51.47,70,10,79,16.98,52.66,Rice,DAP
Sandy,5.08,59.9,95,35,95,27.26,55.65,Cotton,DAP
Sandy,5.21,51.92,31,40,24,22.63,55.22,Rice,Urea
Sandy,7.95,37.87,112,65,70,17.76,55.78,Rice,Zinc Sulphate
Loamy,6.07,19.67,90,46,42,33.18,38.74,Wheat,SSP
Silt,4.52,44.07,147,84,90,28.88,30.81,Tomato,Compost
Sandy,5.6,56.88,31,13,21,33.7,75.75,Wheat,Urea
Loamy,6.89,20.59,81,81,40,18.08,50.62,Tomato,NPK
Clay,7.7,22.8,125,53,108,37.12,59.45,Cotton,Zinc Sulphate
Clay,5.03,17.45,79,58,43,17.16,48.45,Tomato,Compost
Sandy,4.94,46.84,100,49,41,28.06,52.9,Tomato,Compost
Clay,8.19,30.33,47,77,32,11.71,34.49,Sugarcane,Urea
Silt,7.5,13.13,83,80,111,26.23,52.22,Tomato,DAP
Clay,6.86,53.75,114,19,78,12.96,57.79,Wheat,DAP
Clay,7.58,37.88,91,79,49,19.97,79.97,Tomato,NPK
Silt,6.22,26.55,129,13,75,35.82,49.33,Cotton,DAP
Sandy,7.53,27.2,45,30,40,36.81,35.31,Cotton,Urea
Sandy,5.99,24.51,129,51,21,33.02,75.55,Potato,MOP
Silt,5.48,32.77,131,15,112,21.03,52.54,Wheat,DAP
Silt,7.42,26.85,145,20,119,27.36,84.92,Potato,DAP
Silt,6.18,37.4,90,82,51,16.72,87.54,Sugarcane,MOP
Clay,8.43,48.68,132,21,29,30.35,82.31,Rice,DAP
Silt,5.9,43.72,24,40,23,20.42,43.6,Sugarcane,Urea
Loamy,8.19,24.72,101,40,84,16.63,45.23,Potato,Zinc Sulphate
Clay,8.23,36.44,138,52,69,27.55,77.65,Wheat,Zinc Sulphate
Sandy,5.47,52.01,69,67,104,13.35,56.77,Potato,Compost
Sandy,7.69,13.41,147,59,106,30.6,47.87,Cotton,NPK
Sandy,6.23,13.91,103,89,99,15.61,47.63,Wheat,NPK
Clay,8.17,37.81,132,50,11,26.6,64.65,Wheat,MOP
Loamy,6.3,41.96,132,85,40,21.78,83.7,Wheat,Zinc Sulphate
Silt,7.48,20.57,134,86,64,26.99,67.14,Wheat,Zinc Sulphate
Silt,6.37,47.26,123,45,44,17.38,67.22,Sugarcane,NPK
Sandy,5.41,42.31,52,86,36,19.31,74.82,Maize,Urea
Sandy,5.3,56.16,88,53,14,14.21,75.62,Wheat,MOP
Clay,6.2,18.45,115,75,84,33.31,84.57,Sugarcane,DAP
Loamy,7.52,47.57,115,24,60,12.1,39.73,Sugarcane,DAP
Silt,6.92,14.18,87,86,112,21.29,89.08,Wheat,NPK
Clay,7.25,38.26,41,43,101,23.47,49.73,Sugarcane,Urea
Silt,5.63,37.59,78,79,25,15.86,46.89,Wheat,MOP
Sandy,6.43,29.42,27,53,49,21.54,60.59,Cotton,Urea
Silt,4.68,52.23,56,42,99,22.54,45.86,Tomato,Urea
Loamy,7.77,10.22,118,88,97,16.73,43.97,Rice,Zinc Sulphate
Loamy,8.46,36.01,75,15,77,29.18,88.01,Sugarcane,DAP
Sandy,6.13,20.86,105,49,85,10.93,36.24,Tomato,Zinc Sulphate
Loamy,4.54,47.17,84,15,91,15.93,89.4,Maize,DAP
Loamy,5.18,12.15,122,84,87,28.72,67.35,Maize,Compost
Clay,7.11,51.58,131,23,90,28.83,87.51,Cotton,DAP
Silt,6.95,51.9,116,14,53,17.96,83.84,Sugarcane,DAP
Sandy,7.65,51.64,87,54,50,30.49,68.9,Cotton,SSP
Sandy,5.52,17.63,156,68,25,24.09,65.39,Maize,MOP
Sandy,7.55,41.52,155,82,51,25.82,89.56,Cotton,Urea
Sandy,7.25,10.72,77,52,29,19.98,60.91,Potato,MOP
Sandy,5.79,52.4,125,62,71,39.53,40.73,Wheat,SSP
Loamy,6.68,46.15,73,36,116,32.12,89.58,Rice,DAP
Clay,5.09,36.56,104,78,37,17.45,49.41,Wheat,MOP
Sandy,6.31,46.53,67,78,69,17.1,35.24,Tomato,Urea
Clay,8.02,14.72,124,57,50,33.23,73.01,Potato,Zinc Sulphate
Clay,6.18,36.43,120,88,10,21.64,56.76,Tomato,MOP
Loamy,7.86,24.56,129,82,25,12.75,53.28,Sugarcane,MOP
Sandy,6.86,58.63,100,34,13,11.07,67.9,Tomato,DAP
